Year,Month,Cover Model
2017,January/February,2016's Playmates
2017,July/August,Dana Taylor
2017,March/April,Elizabeth Elam
2017,May/June,Brook Power
2017,November/December,Hugh Hefner
2017,September/October,Halsey
2018,January/February,Megan Samperi
2018,July/August,Sarah Stephens
2018,March/April,Jenny Watwood
2018,May/June,Nina Daniele
2018,September/October,Teyana Taylor
2018,November/December,Shelby Rose
2019,April/May/June,Jesi Le Rae
2019,January/February/March,"Vol. 66, No. 1"
2019,July/August/September,"Vol. 66, No. 2"
2019,October/November/December,"Arlondriah Lenyéa, Linnea Snyderman, Marisa Papen"
2020,April/May/June,Yoli Lara
2020,January/February/March,Renee Tenison
2020,April/May/June,Yoli Lara
