year,issue_period,display_label,cover_model,playmate_name,interview_subject,notable_cover_names,source_confidence
1979,October,October 1979,"Burt Reynolds, Gig Gangel",Ursula Buchfellner,Burt Reynolds,,verified
1979,November,November 1979,Phyllis McCreary,Sylvie Garant,Masters and Johnson,,verified
1979,December,December 1979,Raquel Welch,Candace Collins,Al Pacino,,verified
1980,January,January 1980,"Steve Martin, Amy Miller, Michele Drake",Gig Gangel,Steve Martin,,verified
1980,February,February 1980,Candace Collins,Sandy Cagle,Patrick Caddell,,verified
1980,March,March 1980,Bo Derek,Henriette Allais,Terry Bradshaw,Shelley Hack,verified
1980,April,April 1980,Shari Shattuck,Liz Glazowski,Linda Rondstat,,verified
1980,May,May 1980,Terri Welles,Martha Thomsen,Gay Talese,,verified
1980,June,June 1980,Dorothy Stratten,Ola Ray,John Anderson,,verified
1980,July,July 1980,Sandra Dumas,Teri Peterson,Bruce Jenner,George Hamilton,verified
1980,August,August 1980,Bo Derek,Victoria Cooke,William Shockley,,verified
1980,September,September 1980,Rita Lee,Lisa Welch,Roy Scheider,,verified
1980,October,October 1980,S.J. Fellowes,Mardi Jacquet,G. Gordon Liddy,,verified
1980,November,November 1980,Mardi Jacquet,Jeana Tomasino,Larry Hagman,Michael Douglas,verified
1980,December,December 1980,"Vol. 27, No. 12",Terri Welles,George C. Scott,Truman Capote,verified
1981,January,January 1981,Barbara Bach,Karen Price,John Lennon / Yoko Ono,,verified
1981,February,February 1981,"Terri Welles, Candy Loving, Sondra Theodore",Vicki Lynn Lasseter,Tom Snyder,,verified
1981,March,March 1981,"Tricia Barnstable, Cybil Barnstable",Kymberly Herrin,James Garner,Lauren Hutton,verified
1981,April,April 1981,Liz Wickersham,Lorraine Michaels,Ed Asner,,verified
1981,May,May 1981,Gabriella Brum,Gina Goldberg,Elisabeth Kubler-Ross,John DeLorean,verified
1981,June,June 1981,Terri Welles,Cathy Larmouth,Steve Garvey,Jack Lemmon,verified
1981,July,July 1981,Jayne Kennedy,Heidi Sorenson,Robert Garwood,,verified
1981,August,August 1981,Valerie Perrine,Debbie Boostrom,George Gilder,Joan Rivers,verified
